Neighborhood,enrollment rate,not enrolled rate,grade 1 rate,grade 2 rate,grade 3 rate,grade 4 rate,grade 5 rate,grade 6 rate,grade 7 rate,grade 8 rate,grade 9 rate,grade 10 rate,grade 11 rate,grade 12 rate,graduate rate,undergraduate rate
Brighton Heights,89.18041682084346,70.24931119899821,0.8895489736274073,0.9396644087613457,0.2756348932366614,0.9772509851117996,1.3656456073998224,1.002308702678769,0.7016160918751381,0.7517315270090765,0.3883946222880229,1.0649529965961917,1.641280500636484,0.7016160918751381,1.76656908847133,3.219916707355545
Terrace Village,89.0683517966227,37.121592382518635,0.3129322856271328,0.11734960711017482,0.1564661428135664,0.43028189273730766,0.27381574992374125,0.1564661428135664,0.43028189273730766,0.8605637854746153,0.5476314998474825,1.994943320872972,0.5476314998474825,0.27381574992374125,4.38105199877986,39.859749881756045
Regent Square,88.97707231040565,68.51851851851852,0.0,1.1463844797178129,1.2345679012345678,1.763668430335097,1.5873015873015872,0.4409171075837742,3.0864197530864197,0.9700176366843033,0.7936507936507936,1.0582010582010581,0.5291005291005291,0.5291005291005291,4.409171075837742,0.5291005291005291
New Homestead,88.96103896103897,66.41929499072357,1.2987012987012987,1.391465677179963,1.855287569573284,1.0204081632653061,0.7421150278293136,0.0,0.8348794063079777,2.9684601113172544,1.4842300556586272,1.855287569573284,1.948051948051948,1.4842300556586272,0.3710575139146568,3.4322820037105752
Swisshelm Park,88.90420399724329,69.67608545830461,0.7580978635423846,1.1026878015161956,2.1364576154376294,0.5513439007580978,0.34458993797381116,0.34458993797381116,0.6202618883528601,1.9986216402481045,1.0337698139214335,0.34458993797381116,0.7580978635423846,0.8959338387319091,2.067539627842867,3.997243280496209
South Side Flats,88.7835528014784,59.080127376215785,0.12784831603412888,0.04261610534470963,0.5966254748259349,0.0994375791376558,0.45457179034356937,0.2699020005164943,0.18466978982707505,0.5966254748259349,0.0994375791376558,0.0,0.07102684224118272,0.3977503165506232,6.477648012395863,19.80228361684174
Beechview,88.31895690006205,68.05220012363854,0.5796997171046544,2.398365496256511,0.29553318911217674,0.7047329894213445,0.5569663948652561,0.6024330393440527,0.8411329228577338,0.7615662950198401,0.5114997503864597,0.8865995673365302,0.29553318911217674,0.9093328895759284,2.386998835136812,6.3539635659117994
Greenfield,88.22970452252466,69.73031227462431,0.23839422999871562,1.4899639374919726,0.23839422999871562,0.5006278829973028,0.9178177854950551,0.39335047949788077,0.21455480699884405,0.38143076799794495,0.6555841324964679,0.38143076799794495,0.9535769199948625,1.2754091304931285,3.5639937384807987,4.672526907974826
Stanton Heights,88.065628419704,66.07335681916841,0.5406352983450367,0.5020184913203911,1.4867470704488506,1.0040369826407822,1.2550462283009778,0.7916445440052322,0.5985605088820048,0.6757941229312957,0.5985605088820048,0.8302613510298775,0.6564857194189729,1.448130263424205,3.494821035730415,5.29050256237643
East Allegheny,88.04736527334363,74.93482209182419,0.0,0.7564928758568904,0.3362190559363957,1.8071774256581272,0.4623012019125441,0.0,0.0,0.9666297858171377,0.0,0.546355965896643,0.4202738199204947,0.8825750218330388,3.2781357953798587,3.2781357953798587
